date,temp,wind,rainfall,humidity
19900220,33.3,10.74,0.0,22.9
19900221,15.8,7.81,50.3,56.1
19900222,19.9,16.37,0.0,27.28
19900223,31.6,6.62,0.0,24.92
19900224,36.5,12.36,0.0,21.68
19900225,35.9,5.34,31.4,37.9
19900226,26.0,0.01,0.0,28.44
19900227,26.9,5.33,0.0,26.88
19900228,19.6,4.17,0.0,30.99
19900301,37.4,12.57,0.0,22.26
19900302,29.2,18.82,0.0,24.31
19900303,33.2,71.3,0.0,25.01
19900304,31.2,19.64,0.0,23.31
19900305,33.9,11.11,14.0,30.86
19900306,30.3,2.48,0.0,27.4
19900307,35.7,19.94,55.4,47.9
19900308,12.9,12.18,0.0,33.23
19900309,28.6,14.92,0.0,25.27
19900310,25.5,0.92,0.0,30.28
19900311,27.1,6.59,43.0,48.22
19900312,21.0,14.49,0.0,29.01
19900313,10.2,12.98,46.7,55.9
19900314,29.2,14.06,0.0,25.19
19900315,27.0,6.61,22.7,39.12
19900316,34.5,12.33,32.1,38.37
19900317,35.9,15.46,0.0,21.5
19900318,25.8,1.13,0.0,29.94
19900319,10.2,19.16,0.0,32.81
19900320,27.6,5.08,0.0,28.3
19900321,30.0,12.03,15.5,32.81
19900322,24.3,7.83,0.0,28.76
19900323,10.4,13.11,17.4,41.97
19900324,37.9,18.79,37.1,37.59
19900325,32.5,11.59,0.0,24.16
19900326,22.2,9.05,0.0,29.84
19900327,36.6,18.01,0.0,20.85
19900328,14.1,8.42,0.0,32.8
19900329,39.0,17.04,0.0,19.96
19900330,35.2,2.26,0.0,25.04
19900331,27.9,5.4,56.8,54.89
19900401,20.0,12.99,0.0,30.09
19900402,38.6,9.73,53.2,48.36
19900403,28.6,19.09,18.7,34.05
19900404,23.9,3.05,50.5,55.39
19900405,32.6,14.9,23.6,35.67
19900406,30.6,0.9,33.0,44.29
19900407,19.4,11.52,5.0,33.21
19900408,16.8,12.06,4.0,34.55
19900409,22.5,17.12,21.6,38.37
19900410,25.2,18.59,37.7,44.66
19900411,25.8,14.02,14.0,34.89
19900412,16.4,13.56,4.9,34.76
19900413,33.7,12.06,47.9,47.26
19900414,36.5,8.8,1.3,24.76
19900415,25.8,5.64,54.3,56.12
19900416,10.2,5.15,0.0,36.64
19900417,33.1,6.47,0.0,25.69
19900418,10.7,8.93,35.8,52.97
19900419,32.5,14.29,16.1,32.27
19900420,14.5,3.8,51.2,59.65
19900421,35.3,3.09,10.2,30.84
19900422,35.4,13.53,51.9,48.64
19900423,28.1,19.54,55.1,51.41
19900424,25.3,10.74,21.7,39.52
19900425,31.8,3.7,44.9,49.08
19900426,17.2,17.64,24.0,41.98
19900427,36.8,12.04,59.8,52.3
19900428,16.2,2.53,55.5,61.31
19900429,39.7,14.95,0.0,21.08
19900430,23.1,6.48,1.3,31.62
19900501,25.6,9.4,48.5,53.06
19900502,10.1,2.57,21.9,48.52
19900503,33.6,14.0,26.9,37.98
19900504,29.9,4.3,0.0,29.34
19900505,29.3,19.34,12.7,31.76
19900506,29.0,16.31,2.9,28.5
19900507,31.3,14.77,10.0,31.23
19900508,22.2,17.96,32.8,45.19
19900509,25.0,3.85,22.4,42.1
19900510,37.5,0.52,3.0,27.84
19900511,18.7,12.31,25.0,43.78
19900512,12.8,8.61,8.4,39.9
19900513,19.9,3.72,43.9,54.69
19900514,38.9,13.03,15.2,30.68
19900515,32.1,17.54,31.5,40.42
19900516,39.1,19.21,0.0,21.72
19900517,14.2,0.22,59.4,66.04
19900518,39.4,11.2,0.0,23.2
19900519,18.6,5.22,3.0,34.94
19900520,32.4,10.64,0.0,26.33
19900521,11.5,6.02,55.3,63.11
19900522,21.6,14.06,0.0,30.81
19900523,37.5,18.91,22.0,32.99
19900524,26.3,17.22,0.0,27.84
19900525,16.9,16.17,0.0,32.22
19900526,32.6,2.3,30.3,43.16
19900527,40.0,15.72,33.3,37.96
19900528,10.9,2.71,55.4,64.44
19900529,15.1,0.36,0.7,36.83
19900530,23.9,13.82,57.2,56.83
19900531,37.9,4.42,19.3,34.86
19900601,36.2,15.74,0.0,25.03
19900602,24.8,14.07,49.1,53.49
19900603,35.1,9.47,14.3,33.16
19900604,36.4,1.68,0.0,28.0
19900605,35.8,17.0,55.9,51.8
19900606,18.5,14.91,3.4,34.18
19900607,25.5,7.37,39.4,50.59
19900608,13.4,14.92,45.5,57.13
19900609,37.5,13.05,27.6,38.05
19900610,29.9,4.71,36.3,46.9
19900611,31.3,14.63,54.8,53.35
19900612,30.3,5.57,9.6,34.51
19900613,20.7,18.1,23.2,41.98
19900614,11.9,14.16,0.0,35.43
19900615,25.4,2.89,0.0,32.67
19900616,29.5,8.16,56.8,56.13
19900617,16.2,7.32,40.1,54.39
19900618,18.1,7.3,8.7,39.35
19900619,11.1,18.72,13.2,41.04
19900620,33.2,5.09,10.2,33.36
19900621,11.6,4.69,0.0,38.04
19900622,34.6,5.31,2.6,28.76
19900623,32.4,4.33,0.0,28.79
19900624,12.8,0.08,58.8,66.95
19900625,36.7,4.85,7.9,30.76
19900626,18.2,9.72,43.9,55.63
19900627,32.0,1.29,28.1,43.28
19900628,12.9,16.89,0.0,35.26
19900629,39.3,3.13,0.0,26.5
19900630,33.3,5.12,46.5,50.97
19900701,25.9,11.17,0.0,31.75
19900702,30.5,16.9,0.0,27.77
19900703,27.1,14.56,3.9,31.87
19900704,37.7,13.79,17.9,34.04
19900705,21.9,14.74,48.5,55.5
19900706,23.3,3.71,0.0,33.94
19900707,29.1,1.19,0.0,31.88
19900708,21.5,7.32,0.0,34.24
19900709,10.6,1.19,39.4,58.88
19900710,14.6,2.48,53.7,64.2
19900711,27.0,14.06,26.6,42.75
19900712,21.8,7.04,38.4,52.15
19900713,37.6,9.91,18.1,34.76
19900714,33.4,8.47,0.0,28.77
19900715,11.9,7.08,48.0,61.41
19900716,22.5,6.45,29.9,48.01
19900717,23.8,11.71,20.0,42.07
19900718,22.1,2.04,39.7,54.52
19900719,24.1,13.65,41.8,51.99
19900720,31.3,17.95,55.6,54.12
19900721,20.6,12.57,53.4,58.47
19900722,384.0,7.73,10.0,31.1
19900723,30.2,15.7,12.5,33.95
19900724,22.7,1.36,0.0,34.59
19900725,14.8,19.13,16.2,42.39
19900726,21.8,7.05,19.3,42.95
19900727,30.2,12.81,12.1,34.4
19900728,18.3,10.6,42.8,54.98
19900729,22.0,17.6,36.4,48.98
19900730,13.0,1.78,2.2,40.41
19900731,36.0,9.58,42.8,48.01
19900801,20.3,4.29,28.9,50.6
19900802,37.4,13.83,0.0,26.06
19900803,19.4,17.98,0.0,33.76
19900804,31.9,7.62,50.1,54.88
19900805,12.4,15.47,50.0,61.08
19900806,28.0,1.62,34.3,50.19
19900807,17.7,17.82,4.3,36.69
19900808,13.8,0.82,15.1,47.39
19900809,39.9,6.8,47.4,49.47
19900810,27.2,19.17,0.0,30.23
19900811,15.4,14.48,16.8,44.8
19900812,10.4,7.58,7.6,43.56
19900813,17.2,0.67,16.1,46.09
19900814,20.1,12.88,46.3,56.89
19900815,23.9,12.43,4.1,35.23
19900816,13.9,4.42,21.4,49.95
19900817,22.9,13.15,0.0,33.61
19900818,17.2,1.17,33.6,54.15
19900819,26.0,12.17,35.7,48.85
19900820,26.0,2.36,44.2,55.67
19900821,32.4,19.06,15.8,35.47
19900822,23.9,1.23,25.1,47.04
19900823,38.3,3.2,5.6,31.25
19900824,36.3,12.77,52.8,52.28
19900825,27.1,4.65,33.0,49.49
19900826,21.8,16.93,0.0,32.9
19900827,35.4,11.94,39.5,46.29
19900828,14.8,1.31,46.7,61.46
19900829,34.5,12.51,32.2,43.26
19900830,26.5,5.4,17.9,42.38
19900831,14.5,0.82,39.1,58.69
19900901,22.8,7.57,55.6,62.22
19900902,22.5,15.66,0.0,33.77
19900903,24.9,10.11,491.0,57.69
19900904,21.8,17.12,0.0,33.64
19900905,21.6,13.32,13.1,41.33
19900906,22.3,16.6,20.6,43.59
19900907,18.4,5.77,25.7,49.84
19900908,32.9,19.11,0.0,28.54
19900909,37.0,12.66,1.3,28.8
19900910,37.5,15.67,38.9,45.35
19900911,20.6,5.86,10.3,41.58
19900912,26.8,1.03,17.5,43.66
19900913,27.7,2.92,46.3,57.06
19900914,10.8,14.15,21.0,49.96
19900915,11.5,15.76,8.8,43.24
19900916,22.8,1.97,0.0,36.35
19900917,28.1,15.73,52.2,56.44
19900918,37.5,12.12,14.9,34.56
19900919,21.6,7.34,20.7,46.06
19900920,27.4,18.1,33.5,50.51
19900921,35.4,18.98,27.9,40.38
19900922,37.5,7.96,18.8,37.63
19900923,33.0,17.34,52.5,54.2
19900924,38.2,5.91,33.2,45.13
19900925,15.3,18.53,21.6,46.47
19900926,12.5,2.74,1.6,42.43
19900927,22.5,14.25,55.3,60.65
19900928,18.0,12.48,52.4,61.86
19900929,22.1,3.26,0.0,36.6
19900930,35.8,9.43,39.2,47.6
19901001,20.6,15.84,0.0,35.97
19901002,16.7,15.96,0.0,37.07
19901003,25.7,12.06,0.0,33.88
19901004,36.2,14.38,0.0,29.06
19901005,19.1,5.55,2.4,40.22
19901006,22.1,18.09,0.0,34.31
19901007,12.4,14.03,0.0,39.81
19901008,175.0,13.56,0.0,37.32
19901009,29.9,11.3,29.5,46.97
19901010,22.5,11.32,5.1,38.52
19901011,27.0,12.53,0.0,33.61
19901012,33.1,17.22,0.0,29.84
19901013,39.4,7.47,0.0,28.87
19901014,19.4,3.31,0.0,39.5
19901015,25.9,14.48,0.0,33.69
19901016,17.4,12.28,0.0,37.55
19901017,19.2,17.7,27.3,48.58
19901018,31.8,17.25,0.0,29.92
19901019,32.9,0.6,0.0,33.72
19901020,28.3,17.62,0.0,31.97
19901021,32.2,14.6,0.0,30.44
19901022,26.3,13.51,0.0,33.24
19901023,35.9,12.11,0.0,29.2
19901024,28.6,19.88,19.5,40.05
19901025,29.5,4.39,0.0,34.01
19901026,26.0,12.15,0.0,34.17
19901027,20.5,5.14,0.0,38.14
19901028,38.7,8.81,0.0,28.84
19901029,16.1,19.84,0.0,36.97
19901030,24.0,86.1,0.0,35.87
19901031,29.5,7.08,0.0,33.69
19901101,26.2,8.31,53.4,61.12
19901102,28.0,18.43,0.0,32.39
19901103,29.3,15.36,0.0,32.87
19901104,15.0,19.03,0.0,37.99
19901105,18.7,19.97,0.0,36.84
19901106,24.6,15.67,32.5,50.68
19901107,36.6,14.27,0.0,29.62
19901108,24.6,1.07,0.0,37.71
19901109,20.6,9.86,0.0,38.46
19901110,30.6,17.88,0.0,31.91
19901111,22.8,2.6,0.0,38.73
19901112,25.8,6.7,0.0,36.52
19901113,21.0,6.51,0.0,38.07
19901114,12.7,11.98,47.7,63.9
19901115,25.9,13.68,0.0,34.87
19901116,13.4,7.2,0.0,41.53
19901117,38.2,6.9,37.1,48.99
19901118,12.4,12.76,0.0,40.77
19901119,32.2,8.89,0.0,33.12
19901120,28.7,11.58,40.6,53.16
19901121,13.4,5.44,0.0,41.89
19901122,37.1,10.14,0.0,30.58
19901123,29.1,3.0,0.0,36.02
19901124,11.6,11.71,43.1,62.74
19901125,35.8,17.47,0.0,29.36
19901126,37.9,8.86,0.0,30.72
19901127,34.6,6.9,54.0,58.67
19901128,22.3,3.97,51.9,63.93
19901129,36.9,6.42,0.0,31.37
19901130,11.8,16.22,0.0,40.32
19901201,15.8,12.16,0.0,40.94
19901202,38.6,18.9,0.0,29.21
19901203,25.0,13.21,0.0,35.86
19901204,35.1,6.37,0.0,33.01
19901205,33.3,173.6,26.3,44.48
19901206,14.7,9.04,2.5,42.97
19901207,17.0,18.37,0.0,39.01
19901208,26.0,13.17,0.0,35.72
19901209,26.1,8.92,0.0,36.7
19901210,33.3,15.69,0.0,32.08
19901211,14.3,19.45,0.0,39.98
19901212,38.4,17.91,14.6,35.68
19901213,27.9,6.18,0.0,36.12
19901214,34.4,13.71,0.0,31.44
19901215,32.8,16.74,22.5,42.88
19901216,14.3,9.76,0.0,41.88
19901217,38.9,19.33,53.0,54.23
19901218,35.3,13.71,0.0,31.59
19901219,39.5,4.4,43.8,52.85
19901220,11.2,12.35,0.0,42.3
19901221,28.2,7.7,0.0,36.51
19901222,36.6,6.11,0.0,32.27
19901223,24.3,18.84,0.0,35.39
19901224,18.6,18.17,45.8,59.79
19901225,24.6,16.03,0.0,36.09
19901226,15.9,8.87,15.4,48.24
19901227,31.8,13.59,0.0,33.55
19901228,13.9,11.09,55.8,68.8
19901229,29.7,13.45,0.0,34.1
19901230,30.2,18.06,0.0,32.85
19901231,16.7,3.25,0.0,42.05
19910101,26.7,16.59,0.0,23.81
19910102,22.3,14.42,26.4,38.4
19910103,14.5,13.42,0.0,29.64
19910104,32.8,1.71,0.0,24.49
19910105,32.4,15.89,0.0,21.28
19910106,34.8,15.83,40.6,40.11
19910107,27.8,2.59,0.0,26.71
19910108,17.3,17.26,0.0,28.15
19910109,23.2,10.37,0.0,26.85
19910110,16.9,9.22,0.0,29.34
19910111,24.4,2.54,0.0,27.75
19910112,39.3,15.03,28.7,32.13
19910113,20.7,4.67,0.0,29.36
19910114,16.3,8.07,0.0,30.21
19910115,20.7,10.93,0.0,27.84
19910116,24.0,8.02,0.0,26.78
19910117,24.0,3.32,25.3,40.38
19910118,38.1,15.15,0.0,19.16
19910119,16.6,3.32,0.0,31.17
19910120,23.9,3.51,0.0,27.93
19910121,11.3,19.42,0.0,29.62
19910122,38.9,15.85,0.0,18.22
19910123,15.2,11.21,0.0,30.51
19910124,26.3,17.89,0.0,23.2
19910125,35.7,1.1,0.0,22.84
19910126,28.7,13.73,0.0,23.65
19910127,29.7,8.55,32.0,39.15
19910128,10.3,18.64,0.0,31.02
19910129,15.7,19.84,0.0,27.81
19910130,36.7,4.81,0.0,22.02
19910131,18.8,18.38,37.0,44.94
19910201,13.6,20.0,0.0,29.41
19910202,39.2,3.54,0.0,22.51
19910203,15.7,11.15,0.0,30.79
19910204,26.7,17.28,0.0,24.85
19910205,39.8,18.22,0.0,18.79
19910206,28.8,5.0,14.6,33.04
19910207,35.6,8.26,0.0,22.26
19910208,38.7,3.69,3.0,24.15
19910209,19.7,16.6,0.0,27.52
19910210,35.9,0.59,0.0,24.42
19910211,13.4,0.62,0.0,34.44
19910212,16.7,0.87,0.0,32.88
19910213,16.8,4.54,0.0,31.85
19910214,11.8,13.82,33.6,48.26
19910215,10.1,13.2,0.0,32.75
19910216,23.2,18.93,7.9,29.4
19910217,36.1,15.71,0.0,21.12
19910218,11.2,5.77,0.0,34.53
19910219,19.8,18.1,0.0,27.14
19910220,29.5,13.38,0.0,24.38
19910221,24.1,7.04,0.0,28.02
19910222,23.4,2.41,0.0,29.42
19910223,28.2,0.57,0.0,27.46
19910224,312.0,6.46,0.0,24.63
19910225,32.8,0.57,0.0,25.68
19910226,20.5,17.4,0.0,27.65
19910227,32.7,18.58,0.0,21.2
19910228,38.0,8.24,31.7,36.49
19910301,36.5,14.56,0.0,21.45
19910302,20.1,1.35,0.0,32.39
19910303,31.0,19.42,0.0,23.06
19910304,34.5,19.44,0.0,21.55
19910305,26.1,17.13,0.0,25.95
19910306,20.0,6.78,33.9,47.26
19910307,30.0,4.26,0.0,26.91
19910308,11.3,5.04,0.0,34.84
19910309,28.8,13.63,34.5,42.3
19910310,26.2,9.04,0.0,27.19
19910311,22.8,5.74,0.0,29.79
19910312,12.3,15.06,0.0,32.44
19910313,11.0,18.05,0.0,32.36
19910314,12.8,14.48,0.0,32.55
19910315,18.6,2.07,0.0,32.6
19910316,30.7,8.95,0.0,25.93
19910317,24.0,2.42,0.0,30.3
19910318,36.1,16.03,0.0,21.82
19910319,31.5,2.24,0.0,26.94
19910320,16.3,9.84,0.0,31.97
19910321,24.4,17.99,0.0,26.74
19910322,36.2,19.33,0.0,20.34
19910323,20.2,19.26,0.0,27.98
19910324,38.8,15.92,0.0,20.55
19910325,20.3,17.05,0.0,28.11
19910326,31.0,17.73,31.0,38.67
19910327,27.8,7.4,0.0,26.98
19910328,28.2,6.84,0.0,27.54
19910329,18.8,10.63,0.0,31.02
19910330,37.1,3.28,0.0,24.2
19910331,21.6,9.4,0.0,29.25
19910401,10.5,6.47,33.8,52.39
19910402,19.8,7.95,0.0,31.99
19910403,21.0,19.5,33.8,45.05
19910404,17.5,17.45,54.9,57.07
19910405,35.1,3.6,43.7,47.3
19910406,28.6,8.63,0.0,27.99
19910407,26.8,7.51,53.8,54.67
19910408,24.6,4.74,0.0,30.43
19910409,35.3,5.41,1.0,25.64
19910410,35.0,18.36,34.0,38.55
19910411,37.7,135.5,0.0,22.74
19910412,12.0,3.52,20.7,46.34
19910413,30.9,9.07,42.8,47.51
19910414,24.3,8.07,0.9,30.26
19910415,34.7,3.4,37.1,44.14
19910416,17.3,18.02,40.0,49.38
19910417,24.9,0.34,5.2,33.83
19910418,19.3,2.57,9.7,37.92
19910419,29.1,18.52,3.9,26.81
19910420,33.7,1.46,39.3,45.99
19910421,23.2,19.92,17.1,35.47
19910422,10.9,1.2,27.6,51.03
19910423,19.6,11.21,21.5,41.42
19910424,31.6,10.38,20.6,35.3
19910425,18.9,19.02,0.0,29.31
19910426,23.3,16.35,22.0,39.27
19910427,15.6,10.83,0.0,33.4
19910428,21.6,0.39,9.6,37.26
19910429,21.7,3.98,0.0,31.61
19910430,21.3,18.23,0.0,28.82
19910501,17.5,19.47,0.0,31.35
19910502,15.6,2.46,32.1,51.04
19910503,33.8,6.95,0.0,26.9
19910504,25.6,1.29,0.0,31.25
19910505,25.1,9.82,0.0,30.38
19910506,14.1,2.88,30.4,51.05
19910507,39.1,7.87,0.0,24.02
19910508,27.8,2.11,0.0,30.46
19910509,29.0,0.1,11.1,36.08
19910510,36.1,5.13,10.6,30.82
19910511,26.6,11.72,28.8,42.3
19910512,34.8,14.37,0.0,24.51
19910513,33.5,11.69,3.7,27.55
19910514,39.5,7.47,0.0,24.47
19910515,22.5,7.86,0.0,31.18
19910516,38.4,19.16,3.9,23.82
19910517,36.7,14.77,30.9,38.5
19910518,26.4,17.3,17.2,36.37
19910519,13.5,13.78,33.9,50.09
19910520,28.1,15.82,30.0,41.86
19910521,15.1,3.48,0.0,35.97
19910522,21.5,19.34,24.8,41.44
19910523,39.8,9.48,0.0,23.26
19910524,18.3,12.05,42.6,52.99
19910525,37.3,0.35,0.0,26.5
19910526,23.1,14.5,42.9,50.36
19910527,17.2,11.34,57.6,60.84
19910528,28.0,5.89,27.7,43.21
19910529,21.9,15.16,5.1,32.19
19910530,21.0,6.83,0.0,32.77
19910531,18.8,6.52,59.7,61.82
19910601,20.0,13.65,34.1,49.15
19910602,12.0,1.38,25.5,51.44
19910603,30.3,3.21,0.0,30.24
19910604,32.0,2.08,9.8,34.67
19910605,26.8,18.77,48.5,51.76
19910606,19.7,2.71,13.0,41.31
19910607,27.6,9.57,0.0,29.41
19910608,28.2,5.47,0.0,30.44
19910609,22.9,15.37,4.9,33.12
19910610,23.8,16.8,31.1,44.36
19910611,32.1,14.17,9.3,31.32
19910612,13.0,14.39,1.2,35.67
19910613,10.9,12.12,0.0,37.25
19910614,13.7,10.41,12.0,42.09
19910615,18.5,9.04,0.0,34.42
19910616,40.0,9.92,41.3,43.77
19910617,25.6,18.41,0.0,28.58
19910618,37.7,3.03,34.2,42.85
19910619,16.0,14.04,8.3,38.18
19910620,31.6,18.08,45.9,48.53
19910621,11.4,10.96,37.0,54.32
19910622,20.1,5.22,0.0,34.28
19910623,16.6,3.43,0.0,36.24
19910624,28.3,7.88,0.0,30.01
19910625,14.7,11.37,0.0,35.35
19910626,15.0,4.07,29.1,51.21
19910627,33.8,10.78,0.0,26.54
19910628,10.7,2.83,0.0,39.42
19910629,13.7,14.6,4.4,37.31
19910630,10.6,13.58,53.6,62.49
19910701,29.0,15.9,19.7,37.8
19910702,33.2,2.41,26.4,43.08
19910703,24.3,0.19,37.5,52.88
19910704,22.7,15.47,46.3,53.78
19910705,15.7,14.32,52.6,60.5
19910706,37.6,15.89,46.2,46.97
19910707,37.7,15.76,14.8,31.96
19910708,13.8,17.88,31.9,50.42
19910709,38.5,6.79,48.7,49.5
19910710,35.7,5.34,10.9,33.26
19910711,35.1,19.61,20.5,35.38
19910712,28.5,15.1,31.2,44.45
19910713,22.8,2.52,50.5,58.57
19910714,39.0,6.93,3.0,28.09
19910715,17.7,10.87,3.0,36.96
19910716,37.7,11.69,10.7,30.64
19910717,21.7,2.36,8.6,39.6
19910718,19.6,17.99,0.0,32.35
19910719,12.0,5.84,27.5,52.45
19910720,39.6,5.98,0.0,26.72
19910721,19.6,4.69,0.0,35.36
19910722,12.0,16.59,17.9,44.8
19910723,31.4,5.76,0.0,30.22
19910724,29.3,0.85,0.0,32.35
19910725,14.9,5.93,38.5,56.27
19910726,12.5,17.61,23.6,46.75
19910727,10.2,9.73,13.0,45.29
19910728,19.5,6.94,33.1,50.79
19910729,28.2,9.78,2.9,31.91
19910730,39.6,1.53,0.0,27.7
19910731,38.4,10.46,51.6,50.68
19910801,10.5,12.46,36.2,56.64
19910802,18.3,6.92,205.0,46.91
19910803,39.7,14.46,11.4,30.65
19910804,15.5,13.37,0.0,36.21
19910805,34.8,19.52,44.4,47.94
19910806,38.9,6.96,54.2,53.25
19910807,14.2,10.8,59.4,65.97
19910808,28.2,13.27,0.0,30.31
19910809,33.2,17.06,0.7,28.05
19910810,14.6,2.93,51.7,63.66
19910811,20.7,1.79,51.0,60.76
19910812,24.9,3.7,53.2,59.57
19910813,35.7,1.12,14.4,36.65
19910814,36.5,2.51,0.0,29.02
19910815,11.3,37.3,52.0,65.58
19910816,13.6,6.55,48.0,62.05
19910817,14.8,8.29,37.7,55.94
19910818,11.8,7.0,4.1,41.69
19910819,16.4,6.26,20.3,47.45
19910820,28.9,4.6,47.7,55.74
19910821,16.1,2.48,0.0,38.59
19910822,37.0,13.33,0.0,27.03
19910823,14.9,5.95,0.0,38.63
19910824,16.2,7.6,38.4,56.12
19910825,12.4,17.69,0.0,36.45
19910826,32.4,2.55,42.0,51.44
19910827,27.9,9.84,19.6,41.17
19910828,33.1,3.66,54.4,57.19
19910829,37.5,2.66,0.0,28.75
19910830,23.7,16.29,37.0,49.49
19910831,12.5,17.62,11.0,42.38
19910901,25.3,5.84,6.5,38.28
19910902,11.8,15.36,48.9,62.6
19910903,23.3,9.63,58.9,63.45
19910904,23.2,10.75,0.0,34.93
19910905,20.5,0.9,23.5,48.98
19910906,30.7,18.5,57.3,57.11
19910907,22.9,12.18,58.7,62.1
19910908,29.4,15.24,0.0,30.41
19910909,19.9,13.13,49.8,58.99
19910910,10.6,17.82,8.1,42.12
19910911,38.4,2.19,0.0,29.76
19910912,15.8,13.27,0.0,36.86
19910913,13.7,11.62,0.0,38.62
19910914,13.0,5.32,32.0,55.86
19910915,30.6,19.07,0.0,29.09
19910916,18.4,18.38,6.7,38.1
19910917,18.1,0.47,0.0,39.11
19910918,33.5,11.66,49.7,54.1
19910919,39.4,7.36,37.8,46.37
19910920,30.9,5.72,0.0,31.78
19910921,23.7,9.47,0.0,34.61
19910922,28.5,6.88,0.0,32.97
19910923,13.5,9.82,47.4,62.29
19910924,17.9,7.67,39.8,56.56
19910925,10.1,11.84,48.0,62.84
19910926,11.5,17.95,0.0,37.75
19910927,31.5,19.13,0.0,28.49
19910928,34.2,16.18,0.0,28.47
19910929,32.1,14.13,59.6,58.86
19910930,16.1,11.36,0.0,37.45
19911001,18.2,2.05,0.0,39.62
19911002,31.7,19.18,0.0,30.01
19911003,28.9,6.02,0.0,34.4
19911004,39.6,13.87,50.8,52.32
19911005,18.1,4.71,0.0,39.16
19911006,23.9,1.18,0.0,37.67
19911007,10.8,10.39,0.0,41.1
19911008,35.3,16.73,30.5,43.09
19911009,27.1,7.31,0.0,34.98
19911010,24.8,15.83,18.2,42.42
19911011,16.2,1.57,0.0,40.89
19911012,20.6,8.88,0.0,37.14
19911013,25.2,1.65,0.0,36.28
19911014,14.8,1.53,5.6,44.25
19911015,25.7,4.42,0.0,35.86
19911016,20.0,8.28,7.5,40.76
19911017,16.8,16.03,0.0,37.69
19911018,18.6,9.06,8.8,42.73
19911019,26.6,17.16,0.0,32.87
19911020,26.1,16.55,46.1,55.42
19911021,31.7,10.02,32.3,47.56
19911022,25.6,2.65,0.0,36.46
19911023,29.2,13.31,41.2,52.03
19911024,26.1,14.8,13.3,39.63
19911025,23.9,12.85,0.0,35.26
19911026,32.6,11.68,0.0,31.28
19911027,35.1,13.25,21.1,39.8
19911028,20.0,13.6,25.9,48.34
19911029,10.2,135.5,0.0,41.2
19911030,22.1,16.2,0.0,34.52
19911031,18.8,2.74,0.0,39.35
19911101,37.4,14.61,59.9,58.27
19911102,34.9,0.57,0.0,34.09
19911103,37.7,17.55,0.0,28.53
19911104,31.2,11.83,45.9,55.26
19911105,10.1,7.09,28.5,56.94
19911106,39.8,1.57,0.0,30.95
19911107,13.0,3.19,0.0,43.03
19911108,15.7,6.88,57.9,68.59
19911109,14.7,14.41,0.0,40.05
19911110,33.1,13.84,59.9,59.72
19911111,38.8,5.44,34.4,47.49
19911112,26.9,12.85,15.0,41.43
19911113,19.6,0.68,29.4,54.83
19911114,13.0,4.24,0.0,42.66
19911115,14.1,7.84,0.0,41.81
19911116,11.6,17.7,0.0,40.41
19911117,160.0,13.24,0.0,39.45
19911118,11.1,3.23,0.0,43.27
19911119,31.0,3.66,19.2,44.12
19911120,19.0,16.55,0.0,36.77
19911121,24.0,10.35,0.0,35.93
19911122,27.6,7.82,0.0,34.97
19911123,36.4,14.84,0.0,29.88
19911124,37.8,14.69,0.0,28.98
19911125,25.6,8.75,0.0,36.29
19911126,17.2,19.8,0.0,37.27
19911127,30.3,5.05,0.0,34.65
19911128,12.6,11.64,5.1,43.97
19911129,12.5,10.23,0.0,41.2
